new_bus_id,epe_bus_id,new_station_id,epe_station_id,voltage_V,lon,lat
471,ml_st_240_138,240,ml_st_240,138000.0,-55.93013189,-13.01051913
472,ml_st_241_500,241,ml_st_241,500000.0,-38.3051399,-9.14464673
473,ml_st_242_500,242,ml_st_242,500000.0,-47.83192545,-16.34908633
474,ml_st_242_138,242,ml_st_242,138000.0,-47.83192545,-16.34908633
475,ml_st_243_345,243,ml_st_243,345000.0,-41.87297084,-22.30534993
476,ml_st_243_138,243,ml_st_243,138000.0,-41.87297084,-22.30534993
477,ml_st_244_230,244,ml_st_244,230000.0,-51.12166667,0.09833333
478,ml_st_244_69,244,ml_st_244,69000.0,-51.12166667,0.09833333
479,ml_st_245_230,245,ml_st_245,230000.0,-56.06652832,-29.15118408
480,ml_st_245_69,245,ml_st_245,69000.0,-56.06652832,-29.15118408
481,ml_st_246_230,246,ml_st_246,230000.0,-35.75023216,-9.52876608
482,ml_st_246_69,246,ml_st_246,69000.0,-35.75023216,-9.52876608
483,ml_st_247_500,247,ml_st_247,500000.0,-51.78964472,-27.52739494
484,ml_st_248_230,248,ml_st_248,230000.0,-59.99139404,-3.08148193
485,ml_st_248_69,248,ml_st_248,69000.0,-59.99139404,-3.08148193
486,ml_st_249_500,249,ml_st_249,500000.0,-49.02405749,-5.1991066
487,ml_st_249_230,249,ml_st_249,230000.0,-49.02405749,-5.1991066
488,ml_st_249_69,249,ml_st_249,69000.0,-49.02405749,-5.1991066
489,ml_st_250_440,250,ml_st_250,440000.0,-51.63876991,-20.79630312
490,ml_st_250_138,250,ml_st_250,138000.0,-51.63876991,-20.79630312
491,ml_st_251_500,251,ml_st_251,500000.0,-49.203491,-20.301208
492,ml_st_251_345,251,ml_st_251,345000.0,-49.203491,-20.301208
493,ml_st_252_500,252,ml_st_252,500000.0,-49.22214429,-20.25366976
494,ml_st_253_230,253,ml_st_253,230000.0,-51.98715075,-23.44835399
495,ml_st_253_138,253,ml_st_253,138000.0,-51.98715075,-23.44835399
496,ml_st_254_500,254,ml_st_254,500000.0,-48.3623045,-1.41081796
497,ml_st_254_230,254,ml_st_254,230000.0,-48.3623045,-1.41081796
498,ml_st_254_69,254,ml_st_254,69000.0,-48.3623045,-1.41081796
499,ml_st_255_525,255,ml_st_255,525000.0,-52.99058867,-33.13970621
500,ml_st_256_230,256,ml_st_256,230000.0,-40.91866832,-19.50326076
501,ml_st_256_138,256,ml_st_256,138000.0,-40.91866832,-19.50326076
502,ml_st_257_345,257,ml_st_257,345000.0,-47.06944722,-20.28619167
503,ml_st_257_138,257,ml_st_257,138000.0,-47.06944722,-20.28619167
504,ml_st_258_230,258,ml_st_258,230000.0,-38.483027,-12.97754422
505,ml_st_258_69,258,ml_st_258,69000.0,-38.483027,-12.97754422
506,ml_st_259_500,259,ml_st_259,500000.0,-42.54793831,-19.4167229
507,ml_st_259_230,259,ml_st_259,230000.0,-42.54793831,-19.4167229
508,ml_st_260_500,260,ml_st_260,500000.0,-35.84227026,-9.40220245
509,ml_st_260_230,260,ml_st_260,230000.0,-35.84227026,-9.40220245
510,ml_st_261_345,261,ml_st_261,345000.0,-46.62527966,-23.56245204
511,ml_st_261_88,261,ml_st_261,88000.0,-46.62527966,-23.56245204
512,ml_st_262_500,262,ml_st_262,500000.0,-38.93740634,-7.30701822
513,ml_st_262_230,262,ml_st_262,230000.0,-38.93740634,-7.30701822
514,ml_st_262_69,262,ml_st_262,69000.0,-38.93740634,-7.30701822
515,ml_st_263_345,263,ml_st_263,345000.0,-46.75195278,-23.52819444
516,ml_st_263_88,263,ml_st_263,88000.0,-46.75195278,-23.52819444
517,ml_st_264_500,264,ml_st_264,500000.0,-48.52067209,-9.54154584
518,ml_st_264_138,264,ml_st_264,138000.0,-48.52067209,-9.54154584
519,ml_st_265_500,265,ml_st_265,500000.0,-44.53500234,-3.56616574
520,ml_st_265_230,265,ml_st_265,230000.0,-44.53500234,-3.56616574
521,ml_st_265_138,265,ml_st_265,138000.0,-44.53500234,-3.56616574
522,ml_st_265_69,265,ml_st_265,69000.0,-44.53500234,-3.56616574
523,ml_st_266_440,266,ml_st_266,440000.0,-49.50216156,-20.86702287
524,ml_st_266_138,266,ml_st_266,138000.0,-49.50216156,-20.86702287
525,ml_st_267_230,267,ml_st_267,230000.0,-34.89127586,-7.95504627
526,ml_st_267_69,267,ml_st_267,69000.0,-34.89127586,-7.95504627
527,ml_st_268_230,268,ml_st_268,230000.0,-34.89181718,-7.95611108
528,ml_st_268_69,268,ml_st_268,69000.0,-34.89181718,-7.95611108
529,ml_st_269_230,269,ml_st_269,230000.0,-46.181981,-23.548427
530,ml_st_269_88,269,ml_st_269,88000.0,-46.181981,-23.548427
531,ml_st_270_345,270,ml_st_270,345000.0,-46.16960562,-23.50368296
532,ml_st_270_230,270,ml_st_270,230000.0,-46.16960562,-23.50368296
533,ml_st_271_440,271,ml_st_271,440000.0,-47.06559364,-22.41989674
534,ml_st_271_138,271,ml_st_271,138000.0,-47.06559364,-22.41989674
535,ml_st_272_230,272,ml_st_272,230000.0,-51.53556713,-29.01318048
536,ml_st_273_345,273,ml_st_273,345000.0,-43.82480159,-16.67025681
537,ml_st_273_138,273,ml_st_273,138000.0,-43.82480159,-16.67025681
538,ml_st_274_500,274,ml_st_274,500000.0,-48.15562587,-20.8651
539,ml_st_274_138,274,ml_st_274,138000.0,-48.15562587,-20.8651
540,ml_st_275_500,275,ml_st_275,500000.0,-41.3967886,-11.71392078
541,ml_st_275_230,275,ml_st_275,230000.0,-41.3967886,-11.71392078
542,ml_st_276_230,276,ml_st_276,230000.0,-37.35009432,-5.14948604
543,ml_st_276_69,276,ml_st_276,69000.0,-37.35009432,-5.14948604
544,ml_st_277_230,277,ml_st_277,230000.0,-34.89384289,-7.18166778
545,ml_st_277_69,277,ml_st_277,69000.0,-34.89384289,-7.18166778
546,ml_st_278_230,278,ml_st_278,230000.0,-37.14641926,-10.87531417
547,ml_st_278_69,278,ml_st_278,69000.0,-37.14641926,-10.87531417
548,ml_st_279_230,279,ml_st_279,230000.0,-38.44505705,-12.95394385
549,ml_st_279_69,279,ml_st_279,69000.0,-38.44505705,-12.95394385
550,ml_st_280_230,280,ml_st_280,230000.0,-35.23965833,-5.808925
551,ml_st_280_69,280,ml_st_280,69000.0,-35.23965833,-5.808925
552,ml_st_281_500,281,ml_st_281,500000.0,-44.10351562,-19.82348633
553,ml_st_281_345,281,ml_st_281,345000.0,-44.10351562,-19.82348633
554,ml_st_281_138,281,ml_st_281,138000.0,-44.10351562,-19.82348633
555,ml_st_282_230,282,ml_st_282,230000.0,-43.86391818,-22.69079544
556,ml_st_282_138,282,ml_st_282,138000.0,-43.86391818,-22.69079544
557,ml_st_283_230,283,ml_st_283,230000.0,-48.48985563,-14.47261983
558,ml_st_283_69,283,ml_st_283,69000.0,-48.48985563,-14.47261983
559,ml_st_284_230,284,ml_st_284,230000.0,-56.29717073,-14.7251351
560,ml_st_284_138,284,ml_st_284,138000.0,-56.29717073,-14.7251351
561,ml_st_285_345,285,ml_st_285,345000.0,-46.38129032,-23.45421595
562,ml_st_285_88,285,ml_st_285,88000.0,-46.38129032,-23.45421595
563,ml_st_286_345,286,ml_st_286,345000.0,-46.558311,-23.483141
564,ml_st_286_88,286,ml_st_286,88000.0,-46.558311,-23.483141
565,ml_st_287_230,287,ml_st_287,230000.0,-43.04707616,-19.70394314
566,ml_st_288_500,288,ml_st_288,500000.0,-43.53933647,-22.75358373
567,ml_st_288_345,288,ml_st_288,345000.0,-43.53933647,-22.75358373
568,ml_st_288_138,288,ml_st_288,138000.0,-43.53933647,-22.75358373
569,ml_st_289_230,289,ml_st_289,230000.0,-56.07606179,-13.82825108
570,ml_st_289_69,289,ml_st_289,69000.0,-56.07606179,-13.82825108
571,ml_st_290_500,290,ml_st_290,500000.0,-47.700091,-19.134348
572,ml_st_291_440,291,ml_st_291,440000.0,-52.96498536,-22.48783798
573,ml_st_291_230,291,ml_st_291,230000.0,-52.96498536,-22.48783798
574,ml_st_292_230,292,ml_st_292,230000.0,-51.61324676,-28.80686381
575,ml_st_292_69,292,ml_st_292,69000.0,-51.61324676,-28.80686381
576,ml_st_293_525,293,ml_st_293,525000.0,-51.33536914,-29.82313659
577,ml_st_293_230,293,ml_st_293,230000.0,-51.33536914,-29.82313659
578,ml_st_294_440,294,ml_st_294,440000.0,-47.41220688,-23.44724098
579,ml_st_294_88,294,ml_st_294,88000.0,-47.41220688,-23.44724098
580,ml_st_295_500,295,ml_st_295,500000.0,-38.38412132,-11.31801237
581,ml_st_295_230,295,ml_st_295,230000.0,-38.38412132,-11.31801237
582,ml_st_296_230,296,ml_st_296,230000.0,-51.09179724,-6.57675094
583,ml_st_296_138,296,ml_st_296,138000.0,-51.09179724,-6.57675094
584,ml_st_297_500,297,ml_st_297,500000.0,-55.7239006,-1.58292015
585,ml_st_297_230,297,ml_st_297,230000.0,-55.7239006,-1.58292015
586,ml_st_297_138,297,ml_st_297,138000.0,-55.7239006,-1.58292015
587,ml_st_298_345,298,ml_st_298,345000.0,-42.35791657,-20.35402005
588,ml_st_298_138,298,ml_st_298,138000.0,-42.35791657,-20.35402005
589,ml_st_299_230,299,ml_st_299,230000.0,-48.69118056,-27.64137778
590,ml_st_299_138,299,ml_st_299,138000.0,-48.69118056,-27.64137778
591,ml_st_300_230,300,ml_st_300,230000.0,-48.29459923,-10.17708677
592,ml_st_300_138,300,ml_st_300,138000.0,-48.29459923,-10.17708677
593,ml_st_301_230,301,ml_st_301,230000.0,-49.94090445,-16.78428686
594,ml_st_301_69,301,ml_st_301,69000.0,-49.94090445,-16.78428686
595,ml_st_302_500,302,ml_st_302,500000.0,-47.11292426,-17.06935954
596,ml_st_302_138,302,ml_st_302,138000.0,-47.11292426,-17.06935954
597,ml_st_303_230,303,ml_st_303,230000.0,-50.59194823,-22.43651865
598,ml_st_303_88,303,ml_st_303,88000.0,-50.59194823,-22.43651865
599,ml_st_304_230,304,ml_st_304,230000.0,-36.00458056,-6.23656389
600,ml_st_304_138,304,ml_st_304,138000.0,-36.00458056,-6.23656389
601,ml_st_305_230,305,ml_st_305,230000.0,-49.21027207,-18.37177542
602,ml_st_305_69,305,ml_st_305,69000.0,-49.21027207,-18.37177542
603,ml_st_306_500,306,ml_st_306,500000.0,-56.84234384,-9.35355263
604,ml_st_306_138,306,ml_st_306,138000.0,-56.84234384,-9.35355263
605,ml_st_307_500,307,ml_st_307,500000.0,-54.43054358,-14.15834596
606,ml_st_307_230,307,ml_st_307,230000.0,-54.43054358,-14.15834596
607,ml_st_308_230,308,ml_st_308,230000.0,-48.76196247,-25.25297911
608,ml_st_308_138,308,ml_st_308,138000.0,-48.76196247,-25.25297911
609,ml_st_309_230,309,ml_st_309,230000.0,-52.71880884,-27.48392212
610,ml_st_309_138,309,ml_st_309,138000.0,-52.71880884,-27.48392212
611,ml_st_310_230,310,ml_st_310,230000.0,-53.19061279,-29.01818848
612,ml_st_310_138,310,ml_st_310,138000.0,-53.19061279,-29.01818848
613,ml_st_311_230,311,ml_st_311,230000.0,-52.67247388,-26.21027902
614,ml_st_311_138,311,ml_st_311,138000.0,-52.67247388,-26.21027902
615,ml_st_312_500,312,ml_st_312,500000.0,-35.02067535,-7.85925158
616,ml_st_312_230,312,ml_st_312,230000.0,-35.02067535,-7.85925158
617,ml_st_312_69,312,ml_st_312,69000.0,-35.02067535,-7.85925158
618,ml_st_313_230,313,ml_st_313,230000.0,-38.19609348,-9.40152737
619,ml_st_314_500,314,ml_st_314,500000.0,-38.19962741,-9.41320076
620,ml_st_314_230,314,ml_st_314,230000.0,-38.19962741,-9.41320076
621,ml_st_315_500,315,ml_st_315,500000.0,-48.55161278,-12.16303508
622,ml_st_316_230,316,ml_st_316,230000.0,-52.40763277,-31.72621658
623,ml_st_316_138,316,ml_st_316,138000.0,-52.40763277,-31.72621658
624,ml_st_317_230,317,ml_st_317,230000.0,-36.56239882,-10.24285087
625,ml_st_317_69,317,ml_st_317,69000.0,-36.56239882,-10.24285087
626,ml_st_318_230,318,ml_st_318,230000.0,-38.58320119,-3.74447407
627,ml_st_318_69,318,ml_st_318,69000.0,-38.58320119,-3.74447407
628,ml_st_319_230,319,ml_st_319,230000.0,-41.41404984,-7.11032472
629,ml_st_319_69,319,ml_st_319,69000.0,-41.41404984,-7.11032472
630,ml_st_320_230,320,ml_st_320,230000.0,-49.27547841,-25.37171449
631,ml_st_320_69,320,ml_st_320,69000.0,-49.27547841,-25.37171449
632,ml_st_321_345,321,ml_st_321,345000.0,-45.79341248,-20.46825867
633,ml_st_321_138,321,ml_st_321,138000.0,-45.79341248,-20.46825867
634,ml_st_322_230,322,ml_st_322,230000.0,-61.13632388,-11.60686244
635,ml_st_322_138,322,ml_st_322,138000.0,-61.13632388,-11.60686244
636,ml_st_323_230,323,ml_st_323,230000.0,-53.02409346,-26.8229932
637,ml_st_323_138,323,ml_st_323,138000.0,-53.02409346,-26.8229932
638,ml_st_324_230,324,ml_st_324,230000.0,-49.378338,-23.15428
639,ml_st_325_230,325,ml_st_325,230000.0,-35.02774549,-8.27081339
640,ml_st_325_69,325,ml_st_325,69000.0,-35.02774549,-8.27081339
641,ml_st_326_500,326,ml_st_326,500000.0,-44.869995,-17.339478
642,ml_st_326_345,326,ml_st_326,345000.0,-44.869995,-17.339478
643,ml_st_326_138,326,ml_st_326,138000.0,-44.869995,-17.339478
644,ml_st_327_230,327,ml_st_327,230000.0,-46.677405,-23.698736
645,ml_st_327_88,327,ml_st_327,88000.0,-46.677405,-23.698736
646,ml_st_328_345,328,ml_st_328,345000.0,-46.68274717,-23.70564618
647,ml_st_328_88,328,ml_st_328,88000.0,-46.68274717,-23.70564618
648,ml_st_329_230,329,ml_st_329,230000.0,-48.86619581,-16.38518127
649,ml_st_330_230,330,ml_st_330,230000.0,-41.75477903,-4.28502109
650,ml_st_330_138,330,ml_st_330,138000.0,-41.75477903,-4.28502109
651,ml_st_330_69,330,ml_st_330,69000.0,-41.75477903,-4.28502109
652,ml_st_331_230,331,ml_st_331,230000.0,-46.70939434,-23.5009728
653,ml_st_331_88,331,ml_st_331,88000.0,-46.70939434,-23.5009728
654,ml_st_332_345,332,ml_st_332,345000.0,-40.29334475,-20.19342639
