new_line_id,epe_line_id,voltage_V,length_km
655,ml_line_655,230000.0,0.3021749
656,ml_line_656,230000.0,13.45297334
657,ml_line_657,230000.0,58.44217181
658,ml_line_658,230000.0,20.74417854
659,ml_line_659,230000.0,65.0960727
660,ml_line_660,230000.0,77.68162418
661,ml_line_661,500000.0,136.63467398
662,ml_line_662,440000.0,5.48716527
663,ml_line_663,230000.0,46.98718376
664,ml_line_664,230000.0,29.66578874
665,ml_line_665,525000.0,152.08728169
666,ml_line_666,230000.0,160.01347439
667,ml_line_667,525000.0,29.17558445
668,ml_line_668,500000.0,11.97258159
669,ml_line_669,440000.0,23.80592891
670,ml_line_670,230000.0,74.7165339
671,ml_line_671,230000.0,336.08570619
672,ml_line_672,500000.0,141.6815439
673,ml_line_673,500000.0,7.75280562
674,ml_line_674,230000.0,11.30462928
675,ml_line_675,230000.0,4.89519378
676,ml_line_676,230000.0,0.71360907
677,ml_line_677,230000.0,120.09547091
678,ml_line_678,230000.0,68.54213722
679,ml_line_679,500000.0,240.86616516
680,ml_line_680,230000.0,8.42942257
681,ml_line_681,230000.0,32.66041373
682,ml_line_682,230000.0,64.20210069
683,ml_line_683,230000.0,7.41456397
684,ml_line_684,230000.0,57.98115058
685,ml_line_685,230000.0,21.22819031
686,ml_line_686,345000.0,21.08445547
687,ml_line_687,230000.0,22.1601539
688,ml_line_688,230000.0,74.32907396
689,ml_line_689,500000.0,347.85463847
690,ml_line_690,500000.0,347.86559413
691,ml_line_691,230000.0,56.88591142
692,ml_line_692,230000.0,15.11512731
693,ml_line_693,525000.0,122.07696539
